favorite,retweet,tweet_id
513,189,669371483794317312
1379,763,669375718304980992
375,81,669393256313184256
398,130,669564461267722241
241,60,669567591774625800
1634,1058,669571471778410496
447,152,669573570759163904
1542,985,669583744538451968
526,159,669597912108789760
977,389,669603084620980224
3660,1903,669625907762618368
834,461,669661792646373376
690,302,669680153564442624
366,138,669682095984410625
406,116,669683899023405056
281,68,669749430875258880
838,424,669753178989142016
241,60,669923323644657664
388,111,669926384437997569
525,176,669942763794931712
312,64,669970042633789440
459,169,669972011175813120
336,88,669993076832759809
343,97,670003130994700288
607,296,670037189829525505
778,117,670040295598354432
668,186,670046952931721218
693,348,670055038660800512
791,364,670061506722140161
653,256,670069087419133954
1621,833,670073503555706880
2303,1322,670079681849372674
723,263,670086499208155136
1070,355,670093938074779648
734,299,670290420111441920
440,142,670303360680108032
3985,1300,670319130621435904
443,118,670338931251150849
336,70,670361874861563904
764,283,670374371102445568
580,225,670385711116361728
448,165,670403879788544000
576,235,670408998013820928
2111,951,670411370698022913
585,340,670417414769758208
652,331,670420569653809152
1358,675,670421925039075328
537,173,670427002554466305
1437,669,670428280563085312
334,120,670433248821026816
1454,682,670434127938719744
1087,552,670435821946826752
673,206,670442337873600512
6927,2077,670444955656130560
1231,705,670449342516494336
566,219,670452855871037440
1006,584,670465786746662913
363,89,670468609693655041
1582,805,670474236058800128
11108,5314,670668383499735048
260,45,670676092097810432
776,305,670679630144274432
609,255,670691627984359425
788,390,670704688707301377
1257,521,670717338665226240
862,386,670727704916926465
993,533,670733412878163972
464,120,670755717859713024
1112,446,670764103623966721
340,76,670778058496974848
804,300,670780561024270336
1624,821,670782429121134593
846,417,670783437142401025
624,211,670786190031921152
685,252,670789397210615808
864,292,670792680469889025
754,248,670797304698376195
351,92,670803562457407488
2042,1001,670804601705242624
1188,518,670807719151067136
1167,283,670811965569282048
3285,1636,670815497391357952
630,101,670822709593571328
802,199,670823764196741120
5771,4287,670826280409919488
759,230,670832455012716544
461,129,670833812859932673
1152,733,670838202509447168
616,205,670840546554966016
25420,9238,670842764863651840
1144,305,670995969505435648
1184,460,671109016219725825
1402,810,671115716440031232
3621,2663,671122204919246848
772,204,671134062904504320
962,424,671138694582165504
1210,687,671141549288370177
693,241,671147085991960577
693,160,671151324042559489
744,228,671154572044468225
388,85,671159727754231808
1716,1167,671163268581498880
901,374,671166507850801152
1159,360,671182547775299584
763,226,671186162933985280
1002,456,671347597085433856
494,118,671355857343524864
413,155,671357843010908160
1157,309,671362598324076544
1464,774,671390180817915904
786,243,671485057807351808
604,215,671486386088865792
1046,493,671488513339211776
951,471,671497587707535361
7295,3722,671504605491109889
1669,765,671511350426865664
976,306,671518598289059840
1445,558,671520732782923777
869,272,671528761649688577
1061,607,671533943490011136
